Country;Year;Total GHG Emissions Including LUCF
Afghanistan;1990;1.596.118.575
Afghanistan;1991;1.535.162.848
Afghanistan;1992;1.405.146.121
Afghanistan;1993;1.406.504.794
Afghanistan;1994;1.402.236.067
Afghanistan;1995;1.436.807.739
Afghanistan;1996;1.535.113.525
Afghanistan;1997;1.631.090.311
Afghanistan;1998;1.715.134.698
Afghanistan;1999;1.802.015.284
Afghanistan;2000;166.091.647
Afghanistan;2001;1.513.966.907
Afghanistan;2002;1.723.934.345
Afghanistan;2003;1.801.338.583
Afghanistan;2004;1.789.618.021
Afghanistan;2005;1.882.928.858
Afghanistan;2006;1.955.904.713
Afghanistan;2007;2.023.799.968
Afghanistan;2008;2.364.882.422
Afghanistan;2009;2.696.127.677
Afghanistan;2010;3.062.237.731
Afghanistan;2011;3.473.017.684
Afghanistan;2012;3.075.894.237
Albania;1990;1.218.067.501
Albania;1991;957.564.377
Albania;1992;7.332.022.528
Albania;1993;6.681.731.286
Albania;1994;7.147.038.043
Albania;1995;6.439.538.801
Albania;1996;612.138.658
Albania;1997;5.461.994.359
Albania;1998;5.614.576.138
Albania;1999;6.876.441.918
Albania;2000;7.176.385.697
Albania;2001;7.835.589.983
Albania;2002;842.560.027
Albania;2003;8.952.406.556
Albania;2004;9.145.782.843
Albania;2005;8.958.159.129
Albania;2006;7.651.579.561
Albania;2007;7.908.883.993
Albania;2008;7.526.494.425
Albania;2009;7.403.662.857
Albania;2010;7.749.881.289
Albania;2011;8.039.139.192
Albania;2012;7.219.109.095
Algeria;1990;9.407.452.956
Algeria;1991;9.326.482.043
Algeria;1992;937.285.173
Algeria;1993;1.018.223.502
Algeria;1994;9.976.191.903
Algeria;1995;1.017.394.279
Algeria;1996;1.023.111.829
Algeria;1997;106.416.718
Algeria;1998;111.053.789
Algeria;1999;11.730.508
Algeria;2000;121.009.647
Algeria;2001;1.182.521.717
Algeria;2002;1.250.231.263
Algeria;2003;1.299.616.909
Algeria;2004;1.327.303.936
Algeria;2005;1.380.438.082
Algeria;2006;1.441.031.396
Algeria;2007;1.528.032.329
Algeria;2008;1.573.579.663
Algeria;2009;1.677.363.597
Algeria;2010;169.322.863
Algeria;2011;1.756.161.354
Algeria;2012;1.890.811.155
Angola;1990;1.050.184.736
Angola;1991;1.066.157.606
Angola;1992;1.078.258.016
Angola;1993;1.095.635.606
Angola;1994;1.106.315.836
Angola;1995;1.159.614.166
Angola;1996;1.203.826.838
Angola;1997;1.190.530.569
Angola;1998;1.278.071.621
Angola;1999;1.257.902.092
Angola;2000;1.232.677.024
Angola;2001;1.213.546.508
Angola;2002;1.291.985.313
Angola;2003;1.409.042.737
Angola;2004;1.491.673.322
Angola;2005;1.526.749.526
Angola;2006;155.786.447
Angola;2007;1.699.666.114
Angola;2008;1.767.993.217
Angola;2009;1.878.514.761
Angola;2010;1.993.001.045
Angola;2011;2.062.983.841
Angola;2012;1.997.218.778
Antigua & Barbuda;1990;0.403833607
Antigua & Barbuda;1991;0.400248627
Antigua & Barbuda;1992;0.407865648
Antigua & Barbuda;1993;0.430548668
Antigua & Barbuda;1994;0.446123689
Antigua & Barbuda;1995;0.46518271
Antigua & Barbuda;1996;0.483256583
Antigua & Barbuda;1997;0.516086455
Antigua & Barbuda;1998;0.530336328
Antigua & Barbuda;1999;0.563006201
Antigua & Barbuda;2000;0.576906074
Antigua & Barbuda;2001;0.614882963
Antigua & Barbuda;2002;0.657449852
Antigua & Barbuda;2003;0.707504742
Antigua & Barbuda;2004;0.749731631
Antigua & Barbuda;2005;0.77685252
