Country;Year;Total
Afghanistan;1990;1596118575
Afghanistan;1991;1535162848
Afghanistan;1992;1405146121
Afghanistan;1993;1406504794
Afghanistan;1994;1402236067
Afghanistan;1995;1436807739
Afghanistan;1996;1535113525
Afghanistan;1997;1631090311
Afghanistan;1998;1715134698
Afghanistan;1999;1802015284
Afghanistan;2000;166091647
Afghanistan;2001;1513966907
Afghanistan;2002;1723934345
Afghanistan;2003;1801338583
Afghanistan;2004;1789618021
Afghanistan;2005;1882928858
Afghanistan;2006;1955904713
Afghanistan;2007;2023799968
Afghanistan;2008;2364882422
Afghanistan;2009;2696127677
Afghanistan;2010;3062237731
Afghanistan;2011;3473017684
Afghanistan;2012;3075894237
Albania;1990;1218067501
Albania;1991;957564377
Albania;1992;7332022528
Albania;1993;6681731286
Albania;1994;7147038043
Albania;1995;6439538801
Albania;1996;612138658
Albania;1997;5461994359
Albania;1998;5614576138
Albania;1999;6876441918
Albania;2000;7176385697
Albania;2001;7835589983
Albania;2002;842560027
Albania;2003;8952406556
Albania;2004;9145782843
Albania;2005;8958159129
Albania;2006;7651579561
Albania;2007;7908883993
Albania;2008;7526494425
Albania;2009;7403662857
Albania;2010;7749881289
Albania;2011;8039139192
Albania;2012;7219109095
Algeria;1990;9407452956
Algeria;1991;9326482043
Algeria;1992;937285173
Algeria;1993;1018223502
Algeria;1994;9976191903
Algeria;1995;1017394279
Algeria;1996;1023111829
Algeria;1997;106416718
Algeria;1998;111053789
Algeria;1999;11730508
Algeria;2000;121009647
Algeria;2001;1182521717
Algeria;2002;1250231263
Algeria;2003;1299616909
Algeria;2004;1327303936
Algeria;2005;1380438082
Algeria;2006;1441031396
Algeria;2007;1528032329
Algeria;2008;1573579663
Algeria;2009;1677363597
Algeria;2010;169322863
Algeria;2011;1756161354
Algeria;2012;1890811155
Angola;1990;1050184736
Angola;1991;1066157606
Angola;1992;1078258016
Angola;1993;1095635606
Angola;1994;1106315836
Angola;1995;1159614166
Angola;1996;1203826838
Angola;1997;1190530569
Angola;1998;1278071621
Angola;1999;1257902092
Angola;2000;1232677024
Angola;2001;1213546508
Angola;2002;1291985313
Angola;2003;1409042737
Angola;2004;1491673322
Angola;2005;1526749526
Angola;2006;155786447
Angola;2007;1699666114
Angola;2008;1767993217
Angola;2009;1878514761
Angola;2010;1993001045
Angola;2011;2062983841
Angola;2012;1997218778
Antigua & Barbuda;1990;0403833607
Antigua & Barbuda;1991;0400248627
Antigua & Barbuda;1992;0407865648
Antigua & Barbuda;1993;0430548668
Antigua & Barbuda;1994;0446123689
Antigua & Barbuda;1995;046518271
Antigua & Barbuda;1996;0483256583
Antigua & Barbuda;1997;0516086455
Antigua & Barbuda;1998;0530336328
Antigua & Barbuda;1999;0563006201
Antigua & Barbuda;2000;0576906074
Antigua & Barbuda;2001;0614882963
Antigua & Barbuda;2002;0657449852
Antigua & Barbuda;2003;0707504742
Antigua & Barbuda;2004;0749731631
Antigua & Barbuda;2005;077685252
Antigua & Barbuda;2006;0822867005
Antigua & Barbuda;2007;0895593489
Antigua & Barbuda;2008;0935183974
Antigua & Barbuda;2009;0992484459
Antigua & Barbuda;2010;1018018943
Antigua & Barbuda;2011;1035062187
Antigua & Barbuda;2012;1136527432
Argentina;1990;3129333694
Argentina;1991;3060991469
Argentina;1992;3113851705
Argentina;1993;312485568
Argentina;1994;3236056756
Argentina;1995;3272419871
Argentina;1996;3361749038
Argentina;1997;3410273986
Argentina;1998;3436716393
Argentina;1999;352250478
Argentina;2000;3531692848
Argentina;2001;3450855614
Argentina;2002;338939672
