Country,Year,Total
Afghanistan,1990,1.3605765202226237
Afghanistan,1991,1.217219801740289
Afghanistan,1992,1.0173463192110905
Afghanistan,1993,0.926836686528954
Afghanistan,1994,0.8506123966622299
Afghanistan,1995,0.8170145427009202
Afghanistan,1996,0.8336073490384928
Afghanistan,1997,0.8575106099890722
Afghanistan,1998,0.8796989921851935
Afghanistan,1999,0.9015904751626689
Afghanistan,2000,0.8064517784588374
Afghanistan,2001,0.7091916654385921
Afghanistan,2002,0.7764488619141202
Afghanistan,2003,0.7792557179307863
Afghanistan,2004,0.7450941816874048
Afghanistan,2005,0.757387007808058
Afghanistan,2006,0.7630928148658346
Afghanistan,2007,0.7680675941999549
Afghanistan,2008,0.8748391490340205
Afghanistan,2009,0.9730436989616101
Afghanistan,2010,1.0783357996031526
Afghanistan,2011,1.193252158700011
Afghanistan,2012,1.0313301226211868
Albania,1990,3.7062283123112376
Albania,1991,2.9312088533392107
Albania,1992,2.2580642018774646
Albania,1993,2.070386453389488
Albania,1994,2.228201972791576
Albania,1995,2.02006748292858
Albania,1996,1.9322357374433916
Albania,1997,1.7349132301087482
Albania,1998,1.7946371420443468
Albania,1999,2.2119437019948034
Albania,2000,2.3231864587133746
Albania,2001,2.5605055606333367
Albania,2002,2.761577402237292
Albania,2003,2.945242608276835
Albania,2004,3.0214625544155327
Albania,2005,2.9746630581503424
Albania,2006,2.5568786592157116
Albania,2007,2.6629086611288755
Albania,2008,2.553679188915738
Albania,2009,2.5289888321817893
Albania,2010,2.6604275386274248
Albania,2011,2.7675552682130835
Albania,2012,2.488928278990198
Algeria,1990,3.5851972727745296
Algeria,1991,3.467910653524587
Algeria,1992,3.403958718076396
Algeria,1993,3.6161638366392546
Algeria,1994,3.469648033654104
Algeria,1995,3.4705038736724028
Algeria,1996,3.4280606420970496
Algeria,1997,3.506840791306352
Algeria,1998,3.603251835997772
Algeria,1999,3.7506066495408104
Algeria,2000,3.8149983942028753
Algeria,2001,3.6781164364835326
Algeria,2002,3.8382468479930463
Algeria,2003,3.937822330773863
Algeria,2004,3.966678374703707
Algeria,2005,4.064786151298745
Algeria,2006,4.176029383305184
Algeria,2007,4.353735239176702
Algeria,2008,4.404655164310792
Algeria,2009,4.6102566419067745
Algeria,2010,4.568536959680888
Algeria,2011,4.650486246285447
Algeria,2012,4.91353269040444
Angola,1990,10.162575862379962
Angola,1991,10.008306849504358
Angola,1992,9.799888500683194
Angola,1993,9.634370175716901
Angola,1994,9.420719905390518
Angola,1995,9.579667610412665
Angola,1996,9.667781523288129
Angola,1997,9.307282126067946
Angola,1998,9.728392274597486
Angola,1999,9.31047179492038
Angola,2000,8.852303200087901
Angola,2001,8.436028043382949
Angola,2002,8.678862665110186
Angola,2003,9.137123948881646
Angola,2004,9.336545854388715
Angola,2005,9.228208582783662
Angola,2006,9.098395383500067
Angola,2007,9.595681151689872
Angola,2008,9.653547258144544
Angola,2009,9.925236431169807
Angola,2010,10.1948355588721
Angola,2011,10.222664766811906
Angola,2012,9.592547632684573
Antigua & Barbuda,1990,6.523335492520919
Antigua & Barbuda,1991,6.413007546625649
Antigua & Barbuda,1992,6.42976397515528
Antigua & Barbuda,1993,6.637304495282728
Antigua & Barbuda,1994,6.703586611570248
Antigua & Barbuda,1995,6.805991455617493
Antigua & Barbuda,1996,6.879586917218308
Antigua & Barbuda,1997,7.144845151733305
Antigua & Barbuda,1998,7.14681195590653
Antigua & Barbuda,1999,7.403982075459291
Antigua & Barbuda,2000,7.429760895322481
Antigua & Barbuda,2001,7.786088271792534
Antigua & Barbuda,2002,8.215042509059103
Antigua & Barbuda,2003,8.744990878077722
Antigua & Barbuda,2004,9.17462041410705
Antigua & Barbuda,2005,9.408981045237086
