Country;Year;Energy (MtCO2e);Industrial Processes (MtCO2e);Agriculture (MtCO2e);Waste (MtCO2e);Land-Use Change and Forestry (MtCO2);Bunker Fuels (MtCO2)
Afghanistan;1990;;0.0571;73.512;4.039;0.6643;
Afghanistan;1991;;0.0586;76.393;4.22;0.0002;
Afghanistan;1992;;0.0637;76.392;44.011;0.0002;
Afghanistan;1993;;0.0651;77.102;45.822;0.0002;
Afghanistan;1994;;0.0665;77.066;47.633;0.0002;
Afghanistan;1995;;0.068;80.878;49.444;0.0002;
Afghanistan;1996;;0.0759;89.751;50.984;0.0002;
Afghanistan;1997;;0.0839;98.576;52.525;0.0001;
Afghanistan;1998;;0.0918;105.875;54.065;0.0003;
Afghanistan;1999;;0.0998;115.183;55.606;0.0001;
Afghanistan;2000;;0.0748;99.891;57.146;0.0006;
Afghanistan;2001;;0.0901;84.757;58.954;0.0002;
Afghanistan;2002;;0.1091;101.283;60.762;0;
Afghanistan;2003;;0.1317;10.576;6.257;0;
Afghanistan;2004;;0.147;103.595;64.378;0;
Afghanistan;2005;;0.155;107.317;66.186;0;
Afghanistan;2006;;0.1712;109.215;68.151;0.0008;
Afghanistan;2007;;0.18;107.652;70.116;0;
Afghanistan;2008;;0.2035;120.275;72.081;0.0008;
Afghanistan;2009;;0.2196;125.629;74.047;0;
Afghanistan;2010;;0.2431;143.181;76.012;0;
Afghanistan;2011;;0.2684;144.167;78.071;0;
Afghanistan;2012;;;138.998;8.013;0;
Albania;1990;80.785;0.3884;30.165;0.5536;0.1436;0
Albania;1991;58.931;0.3151;26.627;0.5587;0.1461;0
Albania;1992;39.176;0.1135;25.784;0.5638;0.1487;0
Albania;1993;31.022;0.1134;2.756;0.5689;0.1512;0
Albania;1994;29.193;0.0657;34.444;0.574;0.1537;0
Albania;1995;21.113;0.1133;34.796;0.5791;0.1562;0
Albania;1996;21.041;0.1175;31.644;0.5816;0.1438;0
Albania;1997;16.668;0.0668;29.779;0.5841;0.1664;0
Albania;1998;18.996;0.0564;29.202;0.5866;0.1518;0
Albania;1999;31.623;0.068;29.158;0.5891;0.1513;0.11
Albania;2000;32.651;0.1052;29.971;0.5916;0.2175;0.12
Albania;2001;34.272;0.0192;29.182;0.5946;0.8764;0.13
