Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,12067570,12789374,13745630,14824371,15869967,16772522,17481800,18034130,18511480,19038420,19701940,20531160,24399948,25183615,25877544,26528741,27207291,27962207,28809167,29726803
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3011487,2992547,2970017,2947314,2927519,2913021,2904780,2900247
"Population, total",SP.POP.TOTL,Algeria,DZA,25912364,26554277,27180921,27785977,28362015,28904300,29411839,29887717,30336880,30766551,31183658,31590320,33267887,33749328,34261971,34811059,35401790,36036159,36717132,37439427
"Population, total",SP.POP.TOTL,American Samoa,ASM,47044,48379,49597,50725,51807,52874,53926,54942,55899,56768,57522,58176,59117,58648,57904,57031,56226,55636,55316,55227
"Population, total",SP.POP.TOTL,Andorra,ADO,54511,56674,58904,61003,62707,63854,64291,64147,63888,64161,65399,67770,81223,83373,84878,85616,85474,84419,82326,79316
"Population, total",SP.POP.TOTL,Angola,AGO,11127870,11472173,11848971,12246786,12648483,13042666,13424813,13801868,14187710,14601983,15058638,15562791,17912942,18541467,19183907,19842251,20520103,21219954,21942296,22685632
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,61906,62412,63434,64868,66550,68349,70245,72232,74206,76041,77648,78972,82565,83467,84397,85350,86300,87233,88152,89069
"Population, total",SP.POP.TOTL,Argentina,ARG,32729740,33193920,33655149,34110912,34558114,34994818,35419683,35833965,36241578,36648054,37057453,37471535,39145491,39558750,39969903,40381860,40798641,41222875,41655616,42095224
"Population, total",SP.POP.TOTL,Armenia,ARM,3544695,3511912,3449497,3369673,3289943,3223173,3173425,3137652,3112958,3093820,3076098,3060036,3014917,3002161,2988117,2975029,2966108,2963496,2967984,2978339
"Population, total",SP.POP.TOTL,Aruba,ABW,62148,64623,68235,72498,76700,80326,83195,85447,87276,89004,90858,92894,100031,100830,101218,101342,101416,101597,101936,102393
"Population, total",SP.POP.TOTL,Australia,AUS,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22728254
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,256338,261117,266133,271165,275903,280151,283792,286968,290054,293572,297891,303138,329243,335801,342259,348587,354780,360830,366711,372388
"Population, total",SP.POP.TOTL,Bahrain,BHR,495944,509654,522748,535692,549151,563730,579855,597834,618054,640904,666855,694893,867014,940808,1026568,1115777,1196774,1261319,1306014,1333577
"Population, total",SP.POP.TOTL,Bangladesh,BGD,105983136,108509679,110987459,113442354,115913710,118427768,120987124,123574107,126169583,128746273,131280739,133776064,142929979,144839238,146592687,148252473,149905836,151616777,153405612,155257387
"Population, total",SP.POP.TOTL,Barbados,BRB,260374,261281,262184,263091,264015,264962,265940,266944,267949,268920,269838,270686,274013,275040,276154,277315,278466,279566,280602,281580
"Population, total",SP.POP.TOTL,Belarus,BLR,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10035000,10005000,9928000,9663000,9604000,9560000,9528000,9507000,9490000,9473000,9464000
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10478617,10547958,10625700,10709973,10796493,10895586,11047744,11128246
"Population, total",SP.POP.TOTL,Belize,BLZ,187552,191127,194321,197615,201678,206962,213674,221608,230289,239024,247312,254989,283279,290751,298403,306165,313925,321609,329193,336707
"Population, total",SP.POP.TOTL,Benin,BEN,5001271,5182525,5378226,5582420,5786794,5985658,6176318,6361301,6546493,6740491,6949366,7174911,8182362,8443717,8707637,8973525,9240982,9509798,9779391,10049792
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,59021,58595,58910,59320,59746,60129,60497,60943,61285,61833,62504,64154,64523,64888,65273,65636,65124,64564,64798
"Population, total",SP.POP.TOTL,Bhutan,BTN,535505,534678,528085,518847,511382,508897,512377,520917,533506,548387,564187,580784,651163,666920,681471,694990,707830,720246,732246,743711
"Population, total",SP.POP.TOTL,Bolivia,BOL,6856246,6992521,7131699,7273824,7418864,7566716,7717445,7870860,8026257,8182710,8339512,8496378,9125405,9283345,9441482,9599916,9758799,9918245,10078238,10238762
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4526996,4437898,4301169,4141167,3992256,3879278,3810649,3779354,3775898,3784389,3792878,3799747,3833377,3838504,3840418,3839749,3837732,3835258,3832310,3828419
"Population, total",SP.POP.TOTL,Botswana,BWA,1379814,1420098,1460453,1500356,1539135,1576291,1611827,1645846,1678111,1708368,1736579,1762531,1864003,1895671,1930431,1967866,2007212,2047831,2089706,2132822
"Population, total",SP.POP.TOTL,Brazil,BRA,150393143,152916852,155379009,157812220,160260508,162755054,165303155,167893835,170516482,173153066,175786441,178419396,188479240,190698241,192784521,194769696,196701298,198614208,200517584,202401584
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,16459,16937,17343,17700,18051,18425,18834,19270,19726,20186,20643,21087,23169,23908,24735,25604,26450,27223,27906,28511
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,256939,264365,271989,279717,287423,295010,302449,309746,316873,323812,330554,337074,361889,368150,374459,380786,387080,393302,399443,405512
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8632367,8540164,8472313,8443591,8406067,8362826,8312068,8256786,8210624,8170172,8020282,7739900,7699020,7545338,7492561,7444443,7395599,7348328,7305888
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,8811033,9050090,9297116,9552473,9816586,10089876,10372809,10665781,10969093,11283016,11607944,11943740,13421929,13834195,14264002,14709011,15165856,15632066,16106851,16590813
"Population, total",SP.POP.TOTL,Burundi,BDI,5613141,5759429,5895131,6019901,6134041,6239030,6333415,6420397,6511920,6623707,6767073,6946720,7934213,8218070,8514578,8821795,9137786,9461117,9790151,10124572
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,341256,349326,358473,368423,378763,389156,399508,409805,419884,429576,438737,447357,474224,478265,481278,483824,486673,490379,495159,500870
"Population, total",SP.POP.TOTL,Cambodia,KHM,9008856,9323607,9659238,10007092,10355253,10694459,11022162,11338733,11641509,11928306,12197905,12448881,13320058,13525360,13728700,13933660,14144337,14363586,14593099,14832255
"Population, total",SP.POP.TOTL,Cameroon,CMR,12070359,12430311,12796739,13169100,13546823,13929575,14317191,14709961,15108630,15514249,15927713,16349364,18126999,18597109,19078100,19570418,20074522,20590666,21119065,21659488
"Population, total",SP.POP.TOTL,Canada,CAN,27791000,28171682,28519597,28833410,29111906,29354000,29671900,29987200,30247900,30499200,30769700,31081900,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34751476
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,25009,26211,27402,28652,30055,31672,33535,35596,37742,39810,41685,43317,48623,50028,51480,52925,54285,55509,56580,57522
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2937832,3010950,3089141,3170848,3253698,3335840,3417163,3497910,3577028,3653310,3726048,3794677,4055608,4127112,4202104,4280405,4361492,4444973,4530903,4619500
"Population, total",SP.POP.TOTL,Chad,TCD,5958022,6151213,6350174,6556628,6773104,7001634,7242018,7494143,7760157,8042713,8343321,8663599,10067932,10423616,10779504,11139740,11510535,11896380,12298512,12715465
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140669,141568,142258,142822,143388,144050,144832,145709,146669,147682,148725,149797,154298,155415,156516,157587,158613,159583,160489,161336
"Population, total",SP.POP.TOTL,Chile,CHL,13141202,13354054,13566942,13778676,13987999,14193986,14396020,14594070,14788609,14980484,15170387,15358418,16096571,16279728,16462701,16645940,16829957,17015048,17201305,17388437
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000
"Population, total",SP.POP.TOTL,Colombia,COL,34271563,34916770,35558683,36195170,36823539,37441980,38049040,38645409,39234059,39819279,40403959,40988909,43285636,43835744,44374647,44901660,45416276,45918101,46406446,46881018
"Population, total",SP.POP.TOTL,Comoros,COM,415144,427556,440252,453188,466309,479574,492979,506525,520180,533909,547696,561525,618632,633814,649404,665414,681845,698695,715972,733661
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",ZAR,34962676,36309209,37783835,39314955,40804011,42183620,43424997,44558347,45647949,46788238,48048664,49449015,56089536,57926840,59834875,61809278,63845097,65938712,68087376,70291160
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,2386467,2450125,2514907,2581306,2649964,2721277,2795903,2873638,2953011,3031969,3109269,3183883,3503086,3604595,3715665,3832771,3950786,4066078,4177435,4286188
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3095994,3175654,3257463,3341005,3425692,3510925,3596733,3682725,3767369,3848725,3925450,3996800,4247843,4308790,4369465,4429506,4488261,4545273,4600487,4654148
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,12165909,12600967,13046907,13499696,13953779,14404340,14852193,15296390,15728482,16137824,16517948,16865376,18132702,18486392,18862172,19261647,19684909,20131707,20604172,21102641
