Country;Year;Total CO2 (including Land-Use Change and Forestry) (MtCO2);Total CH4 (including Land-Use Change and Forestry) (MtCO2e);Total N2O (including Land-Use Change and Forestry) (MtCO2e)
Afghanistan;1990;3.654.722;9.309.910.807;299.436.272
Afghanistan;1991;2.741.202;9.514.510.824;3.092.302.599
Afghanistan;1992;1.425.242;9.569.810.841;3.051.362.478
Afghanistan;1993;1.352.016;9.608.190.857;3.098.362.357
Afghanistan;1994;1.297.056;9.787.360.874;2.930.032.237
Afghanistan;1995;124.576;1.005.614.089;3.056.832.116
Afghanistan;1996;1.176.144;1.086.204.836;3.295.641.691
Afghanistan;1997;1.088.208;1.157.577.583;3.621.661.266
Afghanistan;1998;1.033.248;1.215.263.329;3.932.250.841
Afghanistan;1999;0.80608;1.294.868.076;4.224.220.416
Afghanistan;2000;0.758448;1.209.212.823;3.709.459.991
Afghanistan;2001;0.62288;1.115.241.065;3.299.936.929
Afghanistan;2002;0.890352;1.260.241.307;3.666.823.867
Afghanistan;2003;1.036.912;1.299.941.549;3.881.990.806
Afghanistan;2004;0.956304;1.303.241.791;3.797.077.744
Afghanistan;2005;133.736;1.335.755.033;4.008.684.682
Afghanistan;2006;1.659.792;1.372.875.584;4.024.995.256
Afghanistan;2007;2.279.008;1.398.530.136;380.835.583
Afghanistan;2008;4.209.936;1.511.155.687;4.142.176.404
Afghanistan;2009;6.771.072;1.546.759.239;4.517.636.978
Afghanistan;2010;8.460.176;169.571.579;4.980.247.552
Afghanistan;2011;1.223.776;1.714.661.184;5.095.730.193
Afghanistan;2012;855.174;1.693.555.577;4.996.292.833
Albania;1990;6.739.718;4.000.726.608;1.436.688.287
Albania;1991;4.798.968;3.701.397.696;1.071.802.109
Albania;1992;2.949.968;3.369.138.783;1.009.505.931
Albania;1993;2.432.488;3.175.299.871;1.070.599.753
Albania;1994;2.519.856;3.356.290.958;1.267.613.575
Albania;1995;2.087.528;3.097.592.046;1.251.207.397
Albania;1996;2.103.282;2.921.856.487;1.092.455.836
Albania;1997;1.614.506;2.785.740.928;1.057.364.275
Albania;1998;1.846.184;2.656.545.369;1.106.892.715
Albania;1999;3.119.556;269.508.981;1.056.261.154
