Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,2461665937.89386,6275073571.54659,7057598406.61553,9843842455.48323,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149,20536542736.7297
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2101624962.5,1139166645.83333,709452583.880319,1228071037.84446,1985673798.10258,2424499009.14264,3314898291.37753,2359903108.25164,2707123772.39715,3414760915.22464,3632043907.78974,4060758804.1064,8158548716.52941,8992642348.95796,10701011896.7708,12881352687.7773,12044212903.8168,11926953258.916,12890867538.5302,12319784787.2987
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,62045098374.5482,45715367087.1001,48003298223.1178,49946455210.966,42542571305.5136,41764052457.8814,46941496779.8499,48177862501.9495,48187747528.899,48640611686.2439,54790060512.8886,54744714109.9527,103198229168.23,117027304787.836,134977088396.419,171000692134.748,137211039899.57,161207268840.911,200013050828.17,209047389599.67
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,ADO,1029048481.88051,1106928582.86629,1210013651.87713,1007025755.00065,1017549124.33238,1178738991.19295,1223945356.62682,1180597272.72727,1211932397.81713,1239876305.13531,1401695227.56587,1484017897.09172,3248215396.09501,3536632793.87781,4010990966.32904,4001201113.22689,3650083356.48791,3346516556.29139,3427022518.76564,3146151869.45908
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,10033444816.0535,..,..,..,6202000000,4879285714.28571,7526963963.96396,7649716157.20524,6445427698.57434,6152936539.21955,9129634978.33773,8936063723.20121,28233712830.9035,41789478661.3096,60448921272.2326,84178032716.0971,75492384801.3695,82470913120.7314,104115923082.737,115398371427.673
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,391570370.37037,410388888.888889,423762962.962963,456537037.037037,500088888.888889,494185185.185185,541074074.074074,579851851.851852,620037037.037037,651851851.851852,783837851.851852,773765185.185185,997374111.111111,1135143592.59259,1289254333.33333,1347349851.85185,1206410370.37037,1135539037.03704,1129918370.37037,1204713111.11111
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,141352368724.031,189719984268.485,228788617201.696,236741715015.015,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,199495534687.577,233581686065.467,288833322724.044,363137495039.856,334490355492.26,425916078731.8,533200293249.748,548934618735.756
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2256838858.42714,2068526521.90299,1272577521.7683,1201313196.45626,1315158670.47971,1468317350.02343,1596968913.19202,1639492424.38103,1893726437.35976,1845482181.48539,1911563665.39006,2118467913.37873,4900469515.07252,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79782,10142111334.4961,10619320048.5857
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,..,..,..,..,1330167597.76536,1320670391.06145,1379888268.15642,1531843575.41899,1665363128.49162,1722798882.68156,1873452513.96648,1920262569.8324,2331005586.59218,2421474860.3352,2623726256.98324,2791960893.85475,2498932960.89385,2467703910.61453,2584463687.15084,..
