Cite as: CAIT Climate Data Explorer. 2015. Washington; DC: World Resources Institute. Available online at:•À_http://cait.wri.org.•À_ Please Note: CAIT data are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014; FAOSTAT Emissions Database. Any use of CO2•À_emissions from fuel combustion data should be cited as CO2•À_Emissions from Fuel Combustion; •À_OECD/IEA; 2014.;;;;;;;;;;;;;;;;;
;;Total GHG;;Emissions by Gas excluding LUCF;;;;Emissions by Gas including LUCF;;;Emissions by Sector;;;;;;Emissions by Energy Sub-Sector;;;;
Country;Year;Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e);Total GHG Emissions Including Land-Use Change and Forestry (MtCO?e?);Total CO2 (excluding Land-Use Change and Forestry) (MtCO2);Total CH4 (MtCO2e);Total N2O (MtCO2e);Total F-Gas (MtCO2e);Total CO2 (including Land-Use Change and Forestry) (MtCO2);Total CH4 (including Land-Use Change and Forestry) (MtCO2e);Total N2O (including Land-Use Change and Forestry) (MtCO2e);Energy (MtCO2e);Industrial Processes (MtCO2e);Agriculture (MtCO2e);Waste (MtCO2e);Land-Use Change and Forestry (MtCO2);Bunker Fuels (MtCO2);Electricity/Heat (MtCO2);Manufacturing/Construction (MtCO2);Transportation (MtCO2);Other Fuel Combustion (MtCO2e);Fugitive Emissions (MtCO2e)
Afghanistan;1990;1.529.693.575;1.596.118.575;29.907;93.098;29.943;0.0022;3.654.722;9.309.910.807;299.436.272;;0.0571;73.512;4.039;0.6643;;;;;;12.556
Afghanistan;1991;1.535.144.848;1.535.162.848;27.412;95.144;30.922;0.0036;2.741.202;9.514.510.824;3.092.302.599;;0.0586;76.393;4.22;0.0002;;;;;;10.226
Afghanistan;1992;1.405.128.121;1.405.146.121;14.252;95.697;30.513;0.005;1.425.242;9.569.810.841;3.051.362.478;;0.0637;76.392;44.011;0.0002;;;;;;0.6026
Afghanistan;1993;1.406.486.794;1.406.504.794;1.352;96.081;30.983;0.0065;1.352.016;9.608.190.857;3.098.362.357;;0.0651;77.102;45.822;0.0002;;;;;;0.414
Afghanistan;1994;1.402.218.067;1.402.236.067;12.971;97.873;2.93;0.0079;1.297.056;9.787.360.874;2.930.032.237;;0.0665;77.066;47.633;0.0002;;;;;;0.2473
Afghanistan;1995;1.436.789.739;1.436.807.739;12.458;10.056;30.568;0.0093;124.576;1.005.614.089;3.056.832.116;;0.068;80.878;49.444;0.0002;;;;;;0.0807
Afghanistan;1996;1.535.095.525;1.535.113.525;11.761;108.619;32.956;0.0173;1.176.144;1.086.204.836;3.295.641.691;;0.0759;89.751;50.984;0.0002;;;;;;0.084
Afghanistan;1997;1.631.079.311;1.631.090.311;10.882;115.757;36.216;0.0253;1.088.208;1.157.577.583;3.621.661.266;;0.0839;98.576;52.525;0.0001;;;;;;0.0873
Afghanistan;1998;1.715.105.698;1.715.134.698;10.332;121.525;39.321;0.0332;1.033.248;1.215.263.329;3.932.250.841;;0.0918;105.875;54.065;0.0003;;;;;;0.0906
Afghanistan;1999;1.802.007.284;1.802.015.284;0.8061;129.486;42.242;0.0412;0.80608;1.294.868.076;4.224.220.416;;0.0998;115.183;55.606;0.0001;;;;;;0.0939
Afghanistan;2000;166.085.247;166.091.647;0.7584;120.918;37.092;0.0491;0.758448;1.209.212.823;3.709.459.991;;0.0748;99.891;57.146;0.0006;;;;;;0.0973
Afghanistan;2001;1.513.944.907;1.513.966.907;0.6229;111.523;32.998;0.0644;0.62288;1.115.241.065;3.299.936.929;;0.0901;84.757;58.954;0.0002;;;;;;0.081
Afghanistan;2002;1.723.934.345;1.723.934.345;0.8904;126.024;36.668;0.0798;0.890352;1.260.241.307;3.666.823.867;;0.1091;101.283;60.762;0;;;;;;0.0647
Afghanistan;2003;1.801.338.583;1.801.338.583;10.369;129.994;3.882;0.0951;1.036.912;1.299.941.549;3.881.990.806;;0.1317;10.576;6.257;0;;;;;;0.0485
Afghanistan;2004;1.789.618.021;1.789.618.021;0.9563;130.324;37.971;0.1104;0.956304;1.303.241.791;3.797.077.744;;0.147;103.595;64.378;0;;;;;;0.0322
Afghanistan;2005;1.882.928.858;1.882.928.858;13.374;133.576;40.087;0.1257;133.736;1.335.755.033;4.008.684.682;;0.155;107.317;66.186;0;;;;;;0.0159
Afghanistan;2006;1.955.827.713;1.955.904.713;16.598;137.283;40.246;0.1455;1.659.792;1.372.875.584;4.024.995.256;;0.1712;109.215;68.151;0.0008;;;;;;0.0164
Afghanistan;2007;2.023.799.968;2.023.799.968;2.279;139.853;38.084;0.1653;2.279.008;1.398.530.136;380.835.583;;0.18;107.652;70.116;0;;;;;;0.0168
Afghanistan;2008;2.364.798.422;2.364.882.422;42.099;151.111;41.418;0.1852;4.209.936;1.511.155.687;4.142.176.404;;0.2035;120.275;72.081;0.0008;;;;;;0.0172
Afghanistan;2009;2.696.127.677;2.696.127.677;67.711;154.676;45.176;0.205;6.771.072;1.546.759.239;4.517.636.978;;0.2196;125.629;74.047;0;;;;;;0.0177
Afghanistan;2010;3.062.237.731;3.062.237.731;84.602;169.572;49.802;0.2248;8.460.176;169.571.579;4.980.247.552;;0.2431;143.181;76.012;0;;;;;;0.0181
Afghanistan;2011;3.473.017.684;3.473.017.684;122.378;171.466;50.957;0.2501;1.223.776;1.714.661.184;5.095.730.193;;0.2684;144.167;78.071;0;;;;;;0.0186
Afghanistan;2012;3.075.894.237;3.075.894.237;85.517;169.356;49.963;0.2754;855.174;1.693.555.577;4.996.292.833;;;138.998;8.013;0;;;;;;0.0191
Albania;1990;1.203.706.501;1.218.067.501;66.237;39.836;14.262;0.0035;6.739.718;4.000.726.608;1.436.688.287;80.785;0.3884;30.165;0.5536;0.1436;0;0.75;2.76;0.7;30.855;0.783
Albania;1991;942.950.377;957.564.377;46.804;36.843;10.613;0.0035;4.798.968;3.701.397.696;1.071.802.109;58.931;0.3151;26.627;0.5587;0.1461;0;0.56;2;0.53;21.644;0.6387
Albania;1992;7.183.362.528;7.332.022.528;28.289;3.352;0.999;0.0034;2.949.968;3.369.138.783;1.009.505.931;39.176;0.1135;25.784;0.5638;0.1487;0;0.42;1.34;0.4;12.632;0.4945
Albania;1993;6.530.551.286;6.681.731.286;23.089;31.582;10.601;0.0033;2.432.488;3.175.299.871;1.070.599.753;31.022;0.1134;2.756;0.5689;0.1512;0;0.56;0.77;0.5;0.922;0.3502
Albania;1994;6.993.338.043;7.147.038.043;23.938;33.392;12.571;0.0033;2.519.856;3.356.290.958;1.267.613.575;29.193;0.0657;34.444;0.574;0.1537;0;0.63;0.69;0.63;0.6908;0.2784
Albania;1995;6.283.318.801;6.439.538.801;19.589;30.805;12.407;0.0032;2.087.528;3.097.592.046;1.251.207.397;21.113;0.1133;34.796;0.5791;0.1562;0;0.33;0.59;0.62;0.5097;0.0617
Albania;1996;597.759.658;612.138.658;19.726;29.138;10.874;0.0038;2.103.282;2.921.856.487;1.092.455.836;21.041;0.1175;31.644;0.5816;0.1438;0;0.27;0.53;0.61;0.6425;0.0516
Albania;1997;5.295.634.359;5.461.994.359;14.813;27.648;10.451;0.0044;1.614.506;2.785.740.928;1.057.364.275;16.668;0.0668;29.779;0.5841;0.1664;0;0.24;0.33;0.49;0.5653;0.0415
Albania;1998;5.462.766.138;5.614.576.138;17.103;26.468;11.007;0.005;1.846.184;2.656.545.369;1.106.892.715;18.996;0.0564;29.202;0.5866;0.1518;0;0.22;0.43;0.73;0.4881;0.0315
Albania;1999;6.725.181.918;6.876.441.918;29.813;26.871;10.513;0.0055;3.119.556;269.508.981;1.056.261.154;31.623;0.068;29.158;0.5891;0.1513;0.11;0.26;0.54;1.39;0.9509;0.0214
Albania;2000;6.958.895.697;7.176.385.697;31.379;27.017;11.131;0.0061;3.279.066;2.749.174.251;1.142.029.593;32.651;0.1052;29.971;0.5916;0.2175;0.12;0.32;0.52;1.45;0.9637;0.0114
Albania;2001;6.959.159.983;7.835.589.983;3.2;26.726;10.785;0.008;407.559;2.673.223.578;1.078.778.905;34.272;0.0192;29.182;0.5946;0.8764;0.13;0.29;0.59;1.53;10.012;0.0161
Albania;2002;754.142.027;842.560.027;3.67;26.289;12.326;0.0099;455.418;2.628.912.905;1.232.628.217;39.094;0.021;30.133;0.5976;0.8842;0.13;0.3;0.46;1.75;13.787;0.0207
Albania;2003;8.055.166.556;8.952.406.556;41.295;26.665;12.475;0.0118;5.024.066;2.668.262.231;1.248.327.529;40.816;0.3124;30.505;0.6007;0.8972;0.14;0.36;0.54;1.9;12.561;0.0254
Albania;2004;8.243.612.843;9.145.782.843;44.158;26.062;1.208;0.0136;5.317.962;2.606.161.558;1.208.016.841;43.837;0.3106;29.356;0.6037;0.9022;0.15;0.29;0.62;2.27;11.736;0.0301
Albania;2005;8.046.189.129;8.958.159.129;42.155;2.601;12.142;0.0155;5.126.918;2.601.400.885;1.214.316.153;42.459;0.2722;29.213;0.6068;0.912;0.17;0.3;0.53;2.35;10.311;0.0348
Albania;2006;7.883.509.561;7.651.579.561;41.301;25.729;11.642;0.0163;3.897.984;2.573.057.385;1.164.247.141;41.491;0.2876;28.368;0.6101;-0.2319;0.14;0.27;0.76;1.9;11.824;0.0367
Albania;2007;7.940.613.993;7.908.883.993;42.933;24.785;11.518;0.0171;4.071.564;2.593.533.886;1.226.728.129;41.322;0.4716;27.235;0.6133;-0.0317;0.06;0.33;0.72;2.07;0.9736;0.0386
Albania;2008;7.749.874.425;7.526.494.425;4.238;23.855;11.086;0.0178;400.992;2.388.810.386;1.109.939.117;40.654;0.487;25.809;0.6166;-0.2234;0.08;0.28;0.58;2.26;0.9049;0.0405
Albania;2009;7.629.922.857;7.403.662.857;41.933;23.051;11.129;0.0186;3.966.294;2.305.576.886;1.113.200.105;39.386;0.583;24.984;0.6199;-0.2263;0.05;0.17;0.77;2.2;0.7562;0.0424
Albania;2010;7.974.981.289;7.749.881.289;45.485;23.044;11.027;0.0194;4.323.158;2.304.583.387;1.102.781.093;41.817;0.679;2.481;0.6232;-0.2251;0.05;0.09;1.03;2.21;0.8075;0.0443
Albania;2011;8.244.369.192;8.039.139.192;47.785;23.023;11.427;0.0208;4.560.548;2.311.153.774;1.146.634.026;44.281;0.6805;2.509;0.6268;-0.2052;0.06;0.13;1.13;2.32;0.8034;0.0446
Albania;2012;7.333.219.095;7.219.109.095;3.83;23.339;11.471;0.0222;361.061;2.399.944.161;118.632.696;41.345;;2.535;0.6304;-0.1141;0.06;0.1;1.01;2.23;0.7494;0.045
Algeria;1990;9.225.498.956;9.407.452.956;695.996;183.924;42.358;0.0272;71.294.928;1.847.894.198;4.273.471.317;772.794;33.689;73.039;43.028;18.195;2.45;23.09;7.45;15.65;67.901;242.993
Algeria;1991;9.167.606.043;9.326.482.043;68.635;18.806;4.197;0.0381;70.099.576;1.889.255.084;4.234.624.176;766.838;33.952;70.792;45.079;15.888;2.14;24.06;7.99;16.71;77.329;201.908
Algeria;1992;921.392.773;937.285.173;681.796;195.383;43.725;0.049;6.964.459;1.962.483.969;4.410.137.036;765.659;34.729;73.875;47.129;15.892;2.13;24.06;8.39;16.63;79.758;195.101
Algeria;1993;1.002.326.302;1.018.223.502;755.554;201.551;44.623;0.0598;7.702.088;2.024.170.855;4.499.929.895;842.897;35.102;74.948;4.918;15.897;2.02;25.25;8.36;16.79;84.186;25.471
Algeria;1994;9.817.171.903;9.976.191.903;732.444;205.824;42.742;0.0707;74.710.386;2.066.894.741;4.311.872.755;825.351;33.791;71.345;5.123;15.902;2.06;24.93;7.73;15.37;83.615;261.437
Algeria;1995;1.001.487.479;1.017.394.279;746.878;21.16;42.193;0.0816;76.154.262;2.124.658.627;4.256.985.614;839.654;37.975;70.578;53.281;15.907;2.13;25.85;7.88;14.96;82.943;269.811
Algeria;1996;1.007.321.429;1.023.111.829;727.802;234.754;43.288;0.1477;74.247.106;2.355.360.048;4.362.772.835;839.336;36.993;71.505;59.589;1.579;1.99;25.71;7.25;14.82;8.523;276.306
Algeria;1997;104.866.478;106.416.718;746.757;257.748;42.021;0.2138;7.614.316;2.583.256.468;4.227.160.056;872.369;40.591;69.908;65.897;15.502;1.87;27.68;7.1;14.87;82.017;293.852
Algeria;1998;109.499.749;111.053.789;761.473;282.746;4.798;0.28;7.761.516;2.833.370.889;4.824.967.278;902.115;43.236;77.542;72.204;1.554;1.75;27.74;7.22;15.31;88.604;310.811
Algeria;1999;11.574.508;11.730.508;799.153;307.578;47.258;0.3461;8.138.372;3.082.171.309;4.753.584.499;956.642;43.866;78.331;78.512;1.56;1.77;29.27;8.38;16.31;93.191;323.851
Algeria;2000;119.090.517;121.009.647;809.427;33.069;46.666;0.4122;82.411.556;333.829.973;480.290.172;980.067;4.849;77.528;8.482;19.191;1.94;29.13;8.45;16.68;95.678;341.789
Algeria;2001;1.167.767.617;1.182.521.717;771.518;342.267;48.498;0.5484;78.618.246;3.423.298.565;4.852.483.165;952.069;49.751;7.984;86.008;14.754;1.96;30.15;8.54;16.87;97.694;298.775
Algeria;2002;1.235.349.463;1.250.231.263;828.558;35.282;47.124;0.6847;84.322.416;35.297.064;471.894.461;1.015.739;54.492;77.922;87.197;14.882;2.15;32.22;8.97;19.17;101.509;310.629
Algeria;2003;1.284.536.609;1.299.616.909;862.931;364.356;4.904;0.821;87.759.806;3.646.441.236;4.916.516.055;1.060.122;55.752;80.278;88.385;1.508;1.87;32.48;9.34;21.55;109.425;316.997
Algeria;2004;1.312.492.036;1.327.303.936;869.744;37.727;55.906;0.9572;88.441.194;3.773.703.071;55.949.675;1.067.079;66.979;88.961;89.573;14.812;2.16;31.68;9.94;21.81;117.841;314.938
Algeria;2005;1.364.942.882;1.380.438.082;91.62;388.589;4.922;10.935;93.086.914;3.891.643.906;4.946.988.945;1.114.469;77.216;82.497;90.762;15.495;2.33;32.54;10.49;23.93;127.757;317.112
Algeria;2006;1.425.101.696;1.441.031.396;96.291;394.431;52.805;14.955;97.756.796;3.953.178.837;53.190.457;1.155.779;90.661;86.771;91.891;1.593;2.21;34.16;10.85;25.38;124.866;327.014
Algeria;2007;1.509.650.729;1.528.032.329;1.036.753;400.637;53.285;18.976;10.514.168;4.032.291.767;5.441.082.456;1.227.877;100.552;88.302;9.302;18.382;2.21;33.9;11.87;27.33;138.974;357.903
Algeria;2008;1.557.524.263;1.573.579.663;1.079.449;404.988;50.091;22.996;109.411.764;4.059.549.698;5.051.109.211;1.266.978;112.092;84.305;94.149;16.055;2.26;35.22;12.07;28.89;137.883;367.295
Algeria;2009;1.662.351.797;1.677.363.597;1.165.058;413.014;57.263;27.016;117.973.258;4.132.492.628;5.736.535.967;1.350.009;122.716;94.349;95.278;15.012;2.33;36.6;12.3;30.21;176.892;382.017
Algeria;2010;167.846.723;169.322.863;116.827;420.193;58.967;31.037;118.294.992;4.202.497.558;5.899.212.723;1.355.406;128.576;98.078;96.408;14.761;2.43;36.27;13.17;31.39;17.1;376.105
Algeria;2011;1.739.844.354;1.756.161.354;1.209.085;435.407;59.584;35.769;12.237.694;4.365.446.209;6.007.787.209;1.404.339;137.839;100.114;97.553;16.317;2.23;39.6;13.52;32.32;188.679;36.126
Algeria;2012;1.873.349.155;1.890.811.155;1.316.345;452.083;64.419;40.502;1.331.034.959;4.540.160.859;6.525.811.696;1.519.492;147.328;107.831;98.698;17.462;2.42;43.99;13.61;36.56;206.258;371.634
Angola;1990;5.234.490.363;1.050.184.736;64.579;309.597;149.253;0.002;4.684.921;3.982.238.816;1.834.483.005;252.162;0.1303;264.933;0.5152;526.736;1.05;0.5;1.85;1.01;16.042;20.252
Angola;1991;5.394.281.063;1.066.157.606;66.611;323.134;149.658;0.0026;4.705.179;4.117.606.392;183.853.268;267.033;0.1308;265.696;0.5291;52.673;0.9;0.46;1.72;1.24;16.473;21.636
Angola;1992;5.515.347.162;1.078.258.016;64.589;336.752;150.163;0.0031;46.848.934;4.253.786.968;1.843.588.355;27.783;0.1533;266.641;0.543;526.723;0.82;0.4;1.79;1.17;16.004;228.226
Angola;1993;5.689.185.062;1.095.635.606;69.997;349.234;149.652;0.0036;47.389.136;4.378.606.545;183.847.103;296.734;0.1282;265.432;0.557;526.717;0.92;0.34;2.25;1.2;15.235;243.599
Angola;1994;5.796.049.361;1.106.315.836;67.822;362.567;149.174;0.0042;47.171.072;4.511.942.121;1.833.691.705;307.736;0.1251;265.109;0.5709;526.711;1.33;0.42;1.68;1.53;16.666;25.477
Angola;1995;6.329.094.661;1.159.614.166;108.677;375.008;149.178;0.0047;51.255.898;4.636.346.697;183.373.438;361.649;0.1036;264.375;0.5849;526.705;1.2;0.41;1.83;1.06;17.197;311.452
