Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,119.899018754608,257.175694454209,280.245644106914,380.400955186598,384.131681276838,458.955781585831,569.940728793286,622.379654358451,690.842629014956
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,639.463899289892,348.711317786982,218.492165902633,380.527371084275,619.065163447139,760.559375774093,1046.35851058923,749.584648972451,865.302161845067,1098.42546338936,1175.78898073398,1326.97033929337,2709.14293056201,3005.0129033756,3603.01368536638,4370.53964653148,4114.13654490945,4094.35883191918,4437.8119990258,4247.83985201907
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,2394.42060842261,1721.58206706589,1766.06591892592,1797.54180358553,1499.9840915927,1444.90793611613,1596.00685900157,1611.96194751006,1588.42133828195,1580.95756935003,1757.01197444151,1732.95851735445,3102.03738422673,3467.54474008596,3939.55993939808,4912.25194081995,3875.82209542426,4473.48644568115,5447.40397556569,5583.61615950131
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,ADO,18877.8133198897,19531.5062086017,20542.1304474591,16507.8070750726,16227.0420261276,18459.9084034353,19037.5846794547,18404.5594139597,18969.6405869197,19324.4541876733,21432.976460892,21897.8588917179,39991.3250691924,42419.4018912335,47255.9552101728,46734.2682819437,42704.0194268188,39641.746008498,41627.4629979063,39666.043036198
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,901.650074637241,..,..,..,490.33548133796,374.101867998898,560.675516594828,554.252232901028,454.296549518868,421.376777333568,606.272292244341,574.19416113737,1576.16280066689,2253.83885003865,3151.02243105289,4242.36306234092,3678.94765447179,3886.47935432524,4744.98762949589,5086.8484258086
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,6325.24101654719,6575.48049876448,6680.37587040015,7037.93915392855,7514.48367977293,7230.32063651531,7702.6702836369,8027.63113096483,8355.61864319647,8572.37348077816,10094.7590646488,9797.96871277396,12079.8656950416,13599.908857304,15276.0682646698,15786.1728395062,13979.2626925883,13017.3103875487,12817.8415733094,13525.616220134
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,4318.77456784047,5715.50405220247,6798.02716671068,6940.35137539023,7449.48060533628,7373.42740288005,7683.57384790824,8172.66523534306,8248.76471990265,7736.37257792733,7669.27370858434,7170.68969819358,5096.25833247505,5904.67813228342,7226.27029452745,8992.58961919674,8198.56611136286,10332.0323662966,12800.2018563295,13040.306395228
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,636.680689996499,589.002948223927,368.916836793393,356.507351442189,399.751202522265,455.550276086151,503.231969620213,522.522072040184,608.336648730809,596.505996304047,621.424826318947,692.301630888896,1625.40776912682,2126.61866107184,3080.97095943572,3919.97547381061,2915.5839059087,3124.78401786195,3417.17183599915,3565.5175749254
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,..,..,..,..,17342.4719395745,16441.3812596351,16586.1922970903,17927.4120263906,19081.570288414,19356.4208651472,20619.5658496388,20671.545738502,23302.8319880055,24015.4206122701,25921.5382341406,27549.8894224976,24640.4212441218,24289.1415161326,25353.7875446441,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,18221.6912110476,18836.7805847441,18591.2205236257,17657.2442411201,18079.2639426659,20360.1822127719,21917.7192180061,23522.7787661215,21340.0621127075,20536.4123093012,21665.1154539573,19495.1459333809,33982.9504271591,36084.8589777475,40957.8304392487,49628.1151270179,42715.1322619629,51845.6548605562,62216.5471294133,67646.1038529626
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,21628.760231013,22356.923917186,24820.2278258852,24023.515467019,25584.9178245938,30252.7946924041,29742.4288063177,26646.8839392444,27289.6307093023,27116.6760790806,24517.2674460147,24489.7355313151,38242.0425174699,40430.993614499,46586.6502529235,51386.3766511975,47654.1872090808,46659.8408181344,51123.5613291663,48333.572726737
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,1237.324491677,1209.23749284959,676.15151145252,530.090379806798,436.19055858199,397.198116117247,409.216745216782,505.560573228931,561.910301735455,573.8902561721,655.097432602586,703.671250439944,1578.36733030667,2473.08577636837,3851.43786871172,5574.60380218613,4950.29479142375,5842.80578358576,7189.69122920765,7393.77187697623
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,12350.8804781187,11914.8121340242,11682.1288603818,11402.651522136,11812.1223763424,12239.8278071469,12717.0603822518,17288.0565080427,18456.9907672364,20505.947433679,21241.1653927108,21497.3081566811,23405.8795479327,23721.1562800587,24306.1424243044,23657.365306222,22043.0125711709,21920.5165867583,21514.8986531628,22554.5157201628
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,8528.75976731759,9057.56337486867,9088.63129038702,9707.56695535272,10138.4745861281,10376.3642508806,10523.0815223982,10620.3434291409,10005.2367523625,10330.7365414172,13590.5210501438,12917.3955022801,18418.0726743768,19669.3195545631,21167.6187062133,23043.0253174017,19166.7082382358,20386.0175551116,22033.9106201625,23057.7675759542
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,298.144991987964,285.296976047095,285.697809830392,292.36452625824,291.325867934201,320.36192771435,383.829955081784,390.407905394037,396.169649473801,398.229546291623,406.531740491075,403.594546213657,485.852888073473,495.853780201055,543.082263122362,618.075883559283,683.614422272329,760.331935200195,838.547801702232,858.933362587621
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,7728.50791369814,7733.99004756724,7464.86568037615,7842.4119249139,8148.34407322087,8537.06190014096,9069.13764546521,9549.79536932985,10727.4641340977,11200.4382427867,11568.4959419239,11513.8293557241,14223.6581251896,15645.9990270578,16462.2471099718,16570.5593507827,16523.3829717259,15906.1893174632,15534.1733043761,15385.1163692956
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,1704.74030406477,1747.43867127761,1666.22751294157,1590.03540902938,1460.01754360249,1370.67270975184,1452.44700181708,1396.50216637274,1511.77026798131,1209.61488077994,1273.0491239487,1244.4419967652,3126.36777779462,3848.58620300891,4735.95688918873,6376.17311491284,5176.04470138203,5818.8548592158,6305.77366247653,6721.83490773968
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,20710.6443430806,21154.2918385501,23497.7274067423,22403.2168180008,24338.1377018161,28565.9191516066,27701.903287059,25027.7445890682,25541.6747233656,25444.1392583071,23207.4059110078,23121.6011440246,36967.2591839688,38852.3729277437,44403.7668991523,48424.5755963147,44880.5730196227,44382.8189867028,47699.8447984423,44740.5832481477
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,2202.32255587784,2326.83372835863,2666.92277211418,2833.07567745363,2880.15400787394,2996.39740628714,3001.69323361757,2952.57549366449,2991.86001068223,3065.51789778432,3364.46452254642,3419.20867174662,3933.30443019911,4187.32042587768,4324.93438917012,4473.41790859737,4263.80711218649,4348.01953874968,4522.86186187855,4674.29344667534
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,391.893429442774,383.295374340396,315.218309104727,407.450158546797,276.159118910111,362.470968260096,382.285463258335,356.578243609488,375.024090350248,399.049255834198,369.700868089261,373.553613621788,587.080212422838,609.018608681583,685.551675107742,794.870176064085,768.013476447657,732.953622726674,799.03555913143,811.216240825005
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,26841.5197383946,27700.3095169516,28669.6822595785,30900.6948905109,31476.0631153068,33989.7223579821,44826.7890701658,48478.8832504091,51371.7408069836,54245.459737293,56284.1686478094,58883.9594265967,75882.0338560339,83912.6977976846,90849.5869806436,93605.7481653976,88463.3128161375,88207.3275597322,85973.158416455,85458.455507886
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,559.821618551415,467.656869984625,474.912863588061,453.389092258286,529.54848858519,595.510413390228,617.554770905769,702.538984401936,706.562039136533,764.124259869364,778.391266016094,820.202858862514,1257.54864008661,1346.08577480046,1755.16170904287,1810.57617704401,1786.81067200588,2201.29307778936,2485.78705216849,2452.15158793741
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,709.948654147923,764.141332084365,791.381316991476,788.399136537358,806.221125891646,887.468289684936,958.473517786073,1006.96409902014,1058.71835378353,1012.51002079666,1007.00286888451,958.236314063555,1046.4278428307,1233.59297372996,1389.62929501376,1736.92741046673,1776.86091188357,1981.16631274669,2377.70694037817,2645.29199871713
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,..,..,..,..,314.559604678608,481.165039921515,731.12095121787,971.546064284666,1090.25705604444,1238.17338507275,1451.66400183674,1512.99301405557,2928.26359035282,3351.96339986152,4107.99623197216,4974.66226666137,4586.20631315947,4475.08813004565,4860.78181134244,4494.64064038047
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,2747.20843825723,2776.42306189893,2839.19696308624,2772.73277351962,2767.35374027068,3001.10263081029,3007.61362279528,3050.23358652791,2854.67340192084,3210.23188047215,3333.1795496534,3114.61659378726,5327.8535176786,5342.1403362253,5666.6378477926,5561.89824282253,5115.12146387069,6243.99883079196,7504.84847630844,6885.84359759929
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,3071.62795314411,3942.40394119544,2578.20700864426,2774.174126945,3482.52981637412,4827.15244263478,5144.64365955867,5260.46381282391,5065.33670503667,3461.61285821317,3728.50801001529,3135.15522907743,4730.65346838158,5808.34054715979,7246.87010479067,8706.81914190374,8474.88106576607,11121.4209541496,13039.1216499582,12157.3082176473
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,13701.8970422471,14002.1071342971,15381.3139100223,14678.0715929009,14220.6363441058,16046.9815826138,16913.9353639107,16779.3384713214,12784.7662234822,14205.7737205539,18154.8349324604,16616.798045418,26337.9181126619,31157.6884478525,32707.7043073602,37798.3935034007,27726.481053695,34852.0239843014,46377.8811438445,46973.9379317158
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,2366.52982128614,1267.73437541485,1211.98087810931,1278.24717346108,1148.4943993817,1554.04693051431,1208.85023311979,1346.91277031093,1771.99394273504,1643.6098949729,1609.2805861652,1762.45596795591,3852.97775647268,4455.69022418578,5932.89967659315,7296.12247858585,6955.98773253421,6843.26328885315,7813.80349946173,7378.02553944156
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,351.979362800102,346.410442780194,240.963403226136,244.127150168696,193.070275634349,235.832244046072,249.358755868197,229.488061295294,255.709631027055,265.155024782095,226.475942346119,235.481751376203,406.67355596274,422.422337510695,474.088540012772,567.73418665644,537.263428705537,575.011881752413,667.17341945712,673.06251119393
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,201.68765625488,202.693440329919,183.717320379283,155.921602701832,150.802805223128,160.349989322905,137.214102710322,151.532104309971,137.251502794512,121.997730782136,128.635536499035,126.217081308673,140.815135598437,154.924525713107,159.265471311463,182.687801252318,190.394203666589,214.230990840075,240.614483459126,244.19648623151
